# This file is part of the supplement to Brune, Williams, Müller: "Potential links between continental rifting, CO2 degassing and climate change through geological time", Nature Geoscience, 2017). 
# For a discussion of how the table was constructed, see the supplementary material of the publication above.
# A map of all rifts including their Region, ID, Time, and Length (visualized via circle size) is provided as separate supplementary figure.
# The table is based on the rift compilation of Şengör, A.M.C., and Natal’in, B.A., 2001: "Rifts of the World", Geological Society of America Special Papers, v. 352, p.389-482, doi: 10.1130/0-8137-2352-3.389
# 
Region,ID,Long_Min,Long_Max,Lat_Min,Lat_Max,Orientation,Name,Length,Width,Old_Age,Young_Age,Kinematic_Type_1,Geometric_Type_1,Kinematic_Type_2,Geometric_Type_2
WEUR,91,9,10.5,53,55,"NE,N",Gluckstadt,200,50,Early Triassic,,k32,g4,k33,g4
WEUR,92,7,8,52.5,54.5,"NNE,NNW",Emsland,280,30,Early Triassic,,k32,g4,k33,g4
WEUR,93,-9,-3,48,50,ENE,Western Approaches,450,130,Early Triassic,,k423,g4,,
WEUR,94,-8.5,-6,48.75,50.75,ENE,Haig-Fras,215,30,Early Triassic,,k423,g4,,
WEUR,95,-9,-3,50,51.33,"ENE,E",South Celtic,440,50,Early Triassic,,k423,g4,,
WEUR,96,-3.5,,53.17,,N,Kish,60,80,Early Triassic,,k32,g4,k423,g4
WEUR,97,-10,-4,50,52,ENE,North Celtic,600,50,Early Triassic,,k423,g4,,
WEUR,98,30,35,70.75,71.75,WNW,Varanger,200,80,Triassic,,k423,g1,,
WEUR,99,-3.2,4.5,52.67,54.5,N,East Irish,210,70,Early Permian,,k422,g4,k423,g4
WEUR,100,2,,49.5,,NNW,Sub-Paris,100,25,Early Permian,,k423,g1,k32,g1
WEUR,101,-4,1,57.5,59,E,Moray Firth,310,150,Early Permian,,k32,g1,k423,g1
WEUR,102,1,4,58,62,NNE,Viking Graben,600,180,Late Permian,,k421,g1,k423,g1
WEUR,103,-3,2,50.25,51.25,"E,ESE",Wessex-Channel,350,100,Permian,,k423,g4,,
WEUR,104,-7,-4.5,54.5,56,NE,Lough Neagh-Arran,200,50,Permian,,k423,g4,,
